"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"13.09.2024","5.578,05","5.620,00","5.629,50","5.554,00","2,81M","-1,09%"
"12.09.2024","5.639,45","5.659,50","5.688,00","5.625,50","2,77M","-0,32%"
"11.09.2024","5.657,81","5.647,00","5.685,50","5.617,50","3,20M","-0,15%"
"10.09.2024","5.666,13","5.588,50","5.684,00","5.581,00","3,20M","1,23%"
"09.09.2024","5.597,04","5.600,00","5.654,00","5.588,00","2,49M","-0,15%"
"06.09.2024","5.605,45","5.592,50","5.616,00","5.543,00","3,11M","0,19%"
"05.09.2024","5.594,70","5.654,00","5.665,00","5.580,00","2,84M","-0,96%"
"04.09.2024","5.648,97","5.661,50","5.677,00","5.631,00","2,86M","-0,15%"
"03.09.2024","5.657,30","5.656,00","5.669,00","5.592,00","3,16M","0,31%"
"02.09.2024","5.639,62","5.642,50","5.677,50","5.620,50","2,52M","-0,29%"
"30.08.2024","5.656,20","5.580,00","5.693,00","5.574,50","349,77K","0,58%"
"29.08.2024","5.623,69","5.559,50","5.664,50","5.557,00","3,48M","1,29%"
"28.08.2024","5.552,17","5.513,50","5.572,00","5.513,00","3,01M","0,89%"
"27.08.2024","5.503,08","5.484,00","5.522,00","5.479,00","2,68M","0,24%"
"26.08.2024","5.489,68","5.496,50","5.517,00","5.474,50","2,87M","0,05%"
"23.08.2024","5.487,17","5.589,00","5.589,00","5.479,50","3,31M","-1,94%"
"22.08.2024","5.595,64","5.490,00","5.614,00","5.485,50","3,82M","2,05%"
"21.08.2024","5.483,15","5.478,50","5.516,00","5.464,00","3,36M","-0,21%"
"20.08.2024","5.494,92","5.446,00","5.499,00","5.440,50","3,44M","1,52%"
"19.08.2024","5.412,69","5.480,00","5.481,50","5.384,00","3,47M","-1,23%"
"16.08.2024","5.480,08","5.486,00","5.495,00","5.445,50","2,68M","-0,25%"
"15.08.2024","5.493,64","5.478,50","5.505,00","5.460,50","2,84M","0,28%"
"14.08.2024","5.478,17","5.457,00","5.497,00","5.436,50","3,28M","0,19%"
"13.08.2024","5.467,65","5.484,00","5.513,50","5.458,00","3,31M","-0,84%"
"12.08.2024","5.513,97","5.519,50","5.535,50","5.483,50","3,49M","-0,12%"
"09.08.2024","5.520,83","5.548,00","5.567,50","5.504,00","3,48M","-1,13%"
"08.08.2024","5.583,69","5.646,00","5.670,00","5.546,00","3,75M","-1,03%"
"07.08.2024","5.641,86","5.632,00","5.655,00","5.611,50","3,48M","-0,36%"
"06.08.2024","5.662,00","5.728,50","5.729,50","5.646,50","4,27M","-1,56%"
"05.08.2024","5.751,54","5.880,00","5.883,00","5.730,00","4,28M","0,16%"
"02.08.2024","5.742,52","5.778,00","5.811,50","5.716,50","4,37M","-0,26%"
"01.08.2024","5.757,63","5.690,50","5.774,00","5.651,00","4,31M","1,69%"
"31.07.2024","5.662,10","5.610,00","5.683,00","5.606,00","256,34K","0,66%"
"30.07.2024","5.625,00","5.617,00","5.664,50","5.610,00","2,94M","-0,19%"
"29.07.2024","5.635,46","5.666,50","5.671,00","5.615,00","2,96M","-0,61%"
"26.07.2024","5.669,96","5.620,50","5.676,00","5.619,50","3,29M","0,28%"
"25.07.2024","5.654,35","5.691,00","5.699,50","5.623,50","3,50M","-0,13%"
"24.07.2024","5.661,91","5.605,00","5.666,00","5.602,00","3,40M","1,13%"
"23.07.2024","5.598,71","5.589,50","5.613,00","5.564,00","3,42M","0,43%"
"22.07.2024","5.574,70","5.600,00","5.617,50","5.542,00","2,95M","-0,57%"
"19.07.2024","5.606,42","5.548,00","5.621,50","5.529,50","2,52M","0,40%"
"18.07.2024","5.583,82","5.492,50","5.598,00","5.489,00","3,44M","1,67%"
"17.07.2024","5.492,35","5.450,00","5.499,00","5.443,00","2,87M","0,99%"
"16.07.2024","5.438,46","5.446,50","5.472,00","5.415,00","3,12M","-0,26%"
"15.07.2024","5.452,69","5.465,00","5.488,00","5.440,00","2,43M","0,19%"
"12.07.2024","5.442,26","5.437,00","5.477,50","5.427,00","2,60M","-0,17%"
"11.07.2024","5.451,27","5.420,50","5.466,50","5.383,00","3,37M","0,55%"
"10.07.2024","5.421,23","5.419,00","5.439,00","5.384,00","2,91M","-0,17%"
"09.07.2024","5.430,47","5.487,00","5.492,00","5.424,00","2,45M","-1,09%"
"08.07.2024","5.490,17","5.470,00","5.509,00","5.469,50","2,34M","0,26%"
"05.07.2024","5.475,81","5.485,00","5.550,00","5.471,50","3,15M","-0,58%"
"04.07.2024","5.507,89","5.529,00","5.532,00","5.483,00","2,43M","-1,23%"
"03.07.2024","5.576,65","5.680,50","5.685,50","5.557,50","3,61M","-2,04%"
"02.07.2024","5.692,59","5.674,50","5.717,00","5.646,00","4,02M","0,85%"
"01.07.2024","5.644,64","5.600,00","5.683,00","5.584,50","3,46M","1,54%"
"28.06.2024","5.558,90","5.502,00","5.573,50","5.485,00","281,02K","0,91%"
"27.06.2024","5.508,72","5.523,00","5.540,00","5.484,00","3,42M","-0,22%"
"26.06.2024","5.520,71","5.467,50","5.537,50","5.460,00","3,34M","1,26%"
"25.06.2024","5.451,91","5.413,50","5.463,00","5.406,50","2,74M","1,09%"
"24.06.2024","5.393,20","5.433,00","5.440,00","5.378,00","2,48M","-1,13%"
"21.06.2024","5.454,71","5.450,00","5.465,50","5.426,00","3,02M","0,12%"
"20.06.2024","5.448,19","5.383,00","5.473,50","5.383,00","3,70M","-0,26%"
"19.06.2024","5.462,62","5.438,50","5.487,50","5.420,00","2,41M","0,63%"
"18.06.2024","5.428,54","5.440,50","5.450,00","5.396,50","2,88M","0,00%"
"17.06.2024","5.428,71","5.380,00","5.436,00","5.378,00","2,08M","0,79%"
"14.06.2024","5.386,06","5.385,00","5.394,50","5.352,00","2,62M","0,14%"
"13.06.2024","5.378,74","5.400,50","5.425,00","5.368,50","3,05M","-0,32%"
"12.06.2024","5.395,83","5.379,00","5.438,50","5.345,00","4,15M","0,48%"
"11.06.2024","5.370,00","5.369,00","5.383,00","5.345,50","2,81M","0,09%"
"10.06.2024","5.364,94","5.356,00","5.399,50","5.325,50","3,07M","0,99%"
"07.06.2024","5.312,41","5.265,50","5.374,50","5.251,50","3,57M","1,09%"
"06.06.2024","5.255,16","5.305,00","5.320,50","5.252,50","2,87M","-1,07%"
"05.06.2024","5.311,99","5.284,50","5.317,00","5.272,00","2,89M","0,16%"
"04.06.2024","5.303,34","5.273,00","5.309,00","5.261,50","3,42M","1,28%"
"03.06.2024","5.236,28","5.267,50","5.280,50","5.227,00","3,02M","-0,10%"
"31.05.2024","5.241,60","5.204,50","5.247,50","5.190,00","177,31K","0,67%"
"29.05.2024","5.206,66","5.176,50","5.214,00","5.170,00","2,58M","0,92%"
"28.05.2024","5.159,36","5.166,50","5.169,50","5.135,00","2,36M","-0,28%"
"27.05.2024","5.173,78","5.160,00","5.185,00","5.156,00","1,42M","0,05%"
"24.05.2024","5.171,37","5.140,00","5.176,50","5.131,00","2,21M","0,21%"
"23.05.2024","5.160,70","5.146,00","5.162,00","5.127,00","2,48M","0,06%"
"22.05.2024","5.157,79","5.140,00","5.166,50","5.136,00","2,70M","0,77%"
"21.05.2024","5.118,29","5.101,00","5.128,00","5.087,00","2,58M","0,10%"
"20.05.2024","5.113,17","5.108,00","5.134,00","5.094,50","2,25M","0,08%"
"17.05.2024","5.109,15","5.142,00","5.144,00","5.105,00","2,24M","-0,51%"
"16.05.2024","5.135,24","5.146,00","5.146,00","5.111,50","2,22M","-0,21%"
"15.05.2024","5.146,30","5.170,00","5.175,00","5.127,00","2,75M","0,18%"
"14.05.2024","5.137,23","5.156,00","5.169,00","5.131,50","2,31M","-0,43%"
"13.05.2024","5.159,59","5.155,00","5.173,00","5.132,00","2,03M","-0,12%"
"10.05.2024","5.165,59","5.148,50","5.173,50","5.127,50","2,43M","0,20%"
"09.05.2024","5.155,37","5.152,50","5.187,50","5.146,50","3,23M","0,97%"
"08.05.2024","5.105,71","5.086,50","5.118,00","5.086,00","2,16M","0,47%"
"07.05.2024","5.082,00","5.089,50","5.095,00","5.059,50","2,21M","0,01%"
"06.05.2024","5.081,64","5.075,00","5.103,50","5.072,00","1,85M","0,01%"
"03.05.2024","5.081,02","5.116,00","5.130,00","5.057,50","2,89M","-0,80%"
"02.05.2024","5.121,98","5.173,00","5.173,50","5.114,50","2,70M","-0,96%"
"30.04.2024","5.171,80","5.126,00","5.176,00","5.115,00","280,35K","1,16%"
"29.04.2024","5.112,37","5.110,00","5.124,00","5.103,50","2,32M","-0,07%"
"26.04.2024","5.116,18","5.169,50","5.171,00","5.110,00","2,44M","-0,96%"
"25.04.2024","5.165,97","5.155,50","5.196,00","5.111,00","3,07M","0,25%"
"24.04.2024","5.153,29","5.135,50","5.174,00","5.126,00","2,41M","0,46%"
"23.04.2024","5.129,64","5.176,50","5.192,00","5.122,00","2,52M","-0,95%"
"22.04.2024","5.178,86","5.212,00","5.222,00","5.167,50","2,41M","-0,39%"
"19.04.2024","5.199,28","5.276,00","5.283,50","5.190,50","2,85M","-1,19%"
"18.04.2024","5.261,72","5.236,50","5.285,00","5.234,50","2,98M","0,51%"
"17.04.2024","5.235,26","5.288,00","5.290,00","5.225,50","3,51M","-0,48%"
"16.04.2024","5.260,25","5.207,00","5.299,50","5.205,00","4,23M","1,38%"
"15.04.2024","5.188,90","5.117,00","5.223,50","5.112,50","3,63M","0,96%"
"12.04.2024","5.139,32","5.122,50","5.157,50","5.116,50","3,24M","0,78%"
"11.04.2024","5.099,74","5.083,00","5.104,00","5.068,00","2,59M","0,18%"
"10.04.2024","5.090,38","5.014,00","5.095,50","5.007,00","3,37M","1,46%"
"09.04.2024","5.016,96","5.035,50","5.037,50","5.010,00","2,03M","-0,48%"
"08.04.2024","5.040,96","5.082,00","5.086,50","5.035,00","1,89M","-0,82%"
"05.04.2024","5.082,56","5.065,00","5.087,50","5.041,00","2,74M","0,62%"
"04.04.2024","5.051,23","5.055,00","5.072,00","5.018,50","2,75M","0,01%"
"03.04.2024","5.050,86","5.084,50","5.105,00","5.048,50","2,93M","-0,44%"
"02.04.2024","5.072,95","5.045,00","5.082,50","5.044,50","2,66M","-0,16%"
"01.04.2024","5.081,21","5.024,50","5.086,00","5.024,00","2,67M","1,70%"
"28.03.2024","4.996,20","4.993,00","5.003,50","4.987,00","183,17K","0,37%"
"27.03.2024","4.977,83","4.972,00","4.995,00","4.971,00","2,22M","-0,08%"
"26.03.2024","4.981,69","4.969,50","4.992,50","4.963,00","2,15M","0,16%"
"25.03.2024","4.973,69","4.993,50","5.005,50","4.971,50","1,96M","-0,58%"
"22.03.2024","5.002,68","4.995,00","5.009,50","4.981,50","2,16M","0,54%"
"21.03.2024","4.975,63","4.957,00","4.987,00","4.955,50","2,11M","-0,06%"
"20.03.2024","4.978,40","5.033,00","5.035,00","4.965,50","2,87M","-0,82%"
"19.03.2024","5.019,79","5.047,00","5.057,00","5.011,50","2,82M","-0,16%"
"18.03.2024","5.027,86","4.993,00","5.039,50","4.986,50","2,40M","0,60%"
"15.03.2024","4.998,07","4.992,50","5.005,50","4.986,00","2,06M","0,01%"
"14.03.2024","4.997,38","4.969,00","5.005,00","4.958,00","2,65M","0,43%"
"13.03.2024","4.976,10","4.970,00","4.992,50","4.967,00","1,89M","0,02%"
"12.03.2024","4.975,02","4.980,00","5.000,00","4.963,50","2,52M","-0,14%"
"11.03.2024","4.982,12","4.990,00","5.007,00","4.967,00","2,19M","-0,17%"
"08.03.2024","4.990,70","4.960,00","5.000,00","4.959,50","2,91M","0,95%"
"07.03.2024","4.943,77","4.947,50","4.953,00","4.941,00","1,51M","-0,19%"
"06.03.2024","4.953,06","4.955,00","4.959,50","4.942,50","1,80M","-0,26%"
"05.03.2024","4.965,92","4.964,00","4.973,00","4.950,50","1,87M","0,14%"
"04.03.2024","4.958,88","4.965,00","4.969,50","4.951,50","1,45M","-0,16%"
"01.03.2024","4.966,58","4.973,50","4.987,00","4.958,50","2,12M","-0,34%"
"29.02.2024","4.983,30","4.961,00","4.999,50","4.958,00","132,41K","0,31%"
"28.02.2024","4.968,06","4.943,50","4.975,00","4.941,50","2,37M","0,74%"
"27.02.2024","4.931,75","4.979,00","4.980,00","4.928,50","2,59M","-0,97%"
"26.02.2024","4.980,04","4.986,00","4.997,00","4.971,50","1,88M","-0,19%"
